type,release_year,year_added,genre_count,desc_length,duration
0,2021,2021.0,1,149,273.0
0,2013,2021.0,2,152,101.0
1,2021,2021.0,1,139,1.0
1,2021,2021.0,1,125,2.0
0,2020,2021.0,1,152,99.0
0,2005,2021.0,1,142,84.0
1,2014,2021.0,1,142,1.0
0,2021,2021.0,1,151,82.0
1,2021,2021.0,3,147,1.0
1,2014,2021.0,1,142,1.0
0,2020,2021.0,1,150,97.0
0,2021,2021.0,1,145,89.0
0,2021,2021.0,1,148,36.0
0,2021,2021.0,1,151,34.0
1,2021,2021.0,2,149,2.0
0,2021,2021.0,1,152,36.0
1,2016,2021.0,1,121,2.0
1,2021,2021.0,3,149,2.0
0,2021,2021.0,3,144,113.0
0,2021,2021.0,3,139,110.0
1,2021,2021.0,3,150,1.0
0,2021,2021.0,2,147,36.0
0,2021,2021.0,2,153,102.0
0,2014,2021.0,2,150,86.0
0,2012,2021.0,2,117,91.0
0,2021,2021.0,2,134,117.0
0,2014,2021.0,3,150,99.0
1,2021,2021.0,3,118,1.0
0,2019,2021.0,2,119,77.0
0,2021,2021.0,2,150,97.0
0,2013,2021.0,3,149,106.0
1,2021,2021.0,1,142,1.0
1,2021,2021.0,3,152,2.0
0,2021,2021.0,3,142,97.0
1,2018,2021.0,2,133,2.0
0,2014,2021.0,3,151,104.0
1,2007,2021.0,3,151,1.0
0,2018,2021.0,2,147,110.0
0,2021,2021.0,3,145,61.0
0,2020,2021.0,3,143,98.0
0,2021,2021.0,1,128,74.0
1,2021,2021.0,3,148,2.0
0,2015,2021.0,1,149,60.0
0,2015,2021.0,1,135,60.0
1,2021,2021.0,2,142,1.0
